,City ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,286621,Salalah,17.0151,54.0924,75.85,93,92,3.2,OM,1629050160
147,1271151,Goālpāra,26.1667,90.6167,78.39,92,100,0.22,IN,1629050161
148,3115824,Muros,42.7762,-9.0603,81.23,66,0,13.71,ES,1629050162
149,2017705,Poyarkovo,49.6,128.6833,60.94,89,4,0.63,RU,1629050162
150,2092164,Lorengau,-2.0226,147.2712,81.25,80,93,6.29,PG,1629050163
151,2119283,Zyryanka,65.75,150.85,47.19,66,100,5.57,RU,1629050164
152,1184845,Ahmadpur East,29.1431,71.2598,94.8,33,0,4.97,PK,1629050165
153,594064,Švenčionys,55.15,26.1667,59.04,89,70,5.57,LT,1629050166
154,3645532,Ciudad Bolivar,8.1222,-63.5497,76.69,85,100,3.65,VE,1629050166
155,3394841,Minador do Negrão,-9.3053,-36.8647,75.67,67,86,12.93,BR,1629050167
156,3466165,Cidreira,-30.1811,-50.2056,62.17,82,85,7.4,BR,1629050168
157,5367788,Lompoc,34.6391,-120.4579,87.1,85,90,5.99,US,1629050169
158,2077895,Alice Springs,-23.7,133.8833,45.95,42,0,2.3,AU,1629050169
159,2630299,Hofn,64.2539,-15.2082,53.62,87,75,6.91,IS,1629050170
160,2068110,Kununurra,-15.7667,128.7333,82.38,24,75,8.05,AU,1629050171
161,777019,Vardø,70.3705,31.1107,48.4,81,75,13.8,NO,1629050172
162,2012956,Yerbogachën,61.2767,108.0108,57.85,84,96,11.01,RU,1629050173
163,952865,Springs,-26.25,28.4,56.3,80,25,3.06,ZA,1629050174
164,2121385,Severo-Kuril'sk,50.6789,156.125,53.55,92,17,11.86,RU,1629050175
165,3448903,São João da Barra,-21.6403,-41.0511,73.49,76,79,10.27,BR,1629050175
166,1688363,Santa Catalina,9.3337,122.8637,78.19,85,58,2.53,PH,1629050176
167,580783,Arti,56.4234,58.5328,58.03,89,22,1.34,RU,1629050177
168,2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,100,20,6.71,RU,1629050178
169,6620339,Karratha,-20.7377,116.8463,75.02,47,98,12.68,AU,1629050178
170,2063036,Port Lincoln,-34.7333,135.8667,55.96,67,66,11.61,AU,1629050179
171,3369157,Cape Town,-33.9258,18.4232,55.81,71,0,1.01,ZA,1629050111
172,523210,Alpatovo,43.7028,45.2415,75.97,65,99,3.4,RU,1629050180
173,2208248,Kaitangata,-46.2817,169.8464,41.49,87,55,6.13,NZ,1629050181
174,2445553,Dogondoutchi,13.6393,4.0287,90.97,46,77,5.55,NE,1629050182
175,3453060,Pontes e Lacerda,-15.2261,-59.3353,99.0,18,0,1.66,BR,1629050060
176,964420,Port Elizabeth,-33.918,25.5701,61.11,82,0,10.36,ZA,1629049950
177,4031637,Lavrentiya,65.5833,-171.0,43.25,83,84,2.89,RU,1629050184
178,4262318,North Vernon,39.0062,-85.6236,78.04,72,100,8.75,US,1629050185
179,3792394,Mapiripán,2.8892,-72.1256,87.84,54,84,2.06,CO,1629050185
180,5993072,Kitimat,54.0524,-128.6534,61.18,93,100,3.0,CA,1629050186
181,1633419,Padang,-0.9492,100.3543,77.34,88,100,4.45,ID,1629050187
182,2140558,Koumac,-20.5667,164.2833,63.91,79,6,5.91,NC,1629050188
183,3416888,Grindavik,63.8424,-22.4338,54.07,94,75,13.8,IS,1629050188
184,935214,Saint-Pierre,-21.3393,55.4781,67.64,75,75,16.11,RE,1629050189
185,3723779,Jacmel,18.2342,-72.5347,87.58,65,85,6.93,HT,1629050190
186,107304,Buraidah,26.326,43.975,102.65,15,5,11.52,SA,1629050191
187,2191562,Dunedin,-45.8742,170.5036,52.81,45,20,8.01,NZ,1629050021
188,5883166,Alberton,46.8168,-64.0654,75.33,56,0,10.27,CA,1629050192
189,793246,Kolga,59.4867,25.6192,58.87,88,90,13.87,EE,1629050193
190,3175096,Laas,46.6166,10.7002,75.94,76,71,2.53,IT,1629050194
191,2633484,Wrexham,53.0,-3.0,63.86,91,100,11.79,GB,1629050195
192,2178753,Kirakira,-10.4544,161.9205,78.57,88,86,13.0,SB,1629050196
193,6167817,Torbay,47.6666,-52.7314,81.37,76,75,11.5,CA,1629050197
194,2264557,Ponta do Sol,32.6667,-17.1,84.83,56,39,6.2,PT,1629050197
195,3899539,Antofagasta,-23.65,-70.4,65.21,58,21,8.81,CL,1629050198
196,1651810,Airai,-8.9266,125.4092,57.51,90,79,3.74,TL,1629050199
197,1799962,Xuanwu,32.069,118.8138,75.15,97,98,3.2,CN,1629050200
198,3361934,Saldanha,-33.0117,17.9442,57.25,74,22,12.39,ZA,1629050200
199,3577154,Oranjestad,12.524,-70.027,84.15,79,20,11.5,AW,1629050201
200,3899695,Ancud,-41.8697,-73.8203,45.43,92,100,18.81,CL,1629050202
201,1242110,Kalmunai,7.4167,81.8167,81.27,72,100,3.47,LK,1629050203
202,2957773,Altenburg,50.9833,12.45,77.29,56,20,2.3,DE,1629050204
203,467527,Yemtsa,63.0734,40.3329,57.42,89,78,9.78,RU,1629050204
204,1507679,Chulym,55.0997,80.9572,61.7,79,93,6.17,RU,1629050205
205,2176639,Batemans Bay,-35.7167,150.1833,55.2,41,0,11.48,AU,1629050206
206,1735106,George Town,5.4112,100.3354,79.9,90,20,0.0,MY,1629050207
207,4328010,Houma,29.5958,-90.7195,95.0,69,49,8.99,US,1629050177
208,1505260,Ivdel',60.6911,60.4206,59.32,75,67,4.25,RU,1629050208
209,6255012,Flinders,-34.5833,150.8552,58.17,46,0,7.0,AU,1629050209
210,3628473,San Cristobal,7.7669,-72.225,82.58,50,68,7.18,VE,1629050210
211,5110365,Broome,42.2506,-75.833,77.02,56,100,1.99,US,1629050210
212,5870133,Nome,64.5011,-165.4064,48.16,93,100,3.31,US,1629050076
213,1572151,Nha Trang,12.25,109.1833,77.0,87,59,4.16,VN,1629050212
214,5486795,Raton,36.9034,-104.4391,82.06,39,54,1.77,US,1629050212
215,1267758,Karīmganj,24.8667,92.35,77.72,94,100,0.72,IN,1629050213
216,5557293,Sitka,57.0531,-135.33,53.91,81,98,6.11,US,1629050214
217,1920772,Zhoucheng,35.9122,116.3117,72.1,84,82,3.6,CN,1629050215
218,110690,Faya,18.3851,42.4509,71.71,69,87,4.74,SA,1629050216
219,3513563,Kralendijk,12.15,-68.2667,81.81,74,92,10.31,BQ,1629050216
220,3838583,Rosario,-32.9468,-60.6393,70.61,37,0,1.01,AR,1629050217
221,2396853,Omboué,-1.5746,9.2618,76.8,82,86,10.51,GA,1629050218
222,5905393,Bonavista,48.6499,-53.1147,80.6,87,81,12.5,CA,1629050219
223,2013459,Verkh-Usugli,52.7,115.1667,53.33,93,0,0.87,RU,1629050219
224,5924351,Clyde River,70.4692,-68.5914,44.83,87,75,3.44,CA,1629050220
225,5957776,Fredericton,45.9454,-66.6656,74.37,51,1,5.01,CA,1629050221
226,4362001,Mayo,38.8876,-76.5119,85.1,60,99,3.0,US,1629050222
227,5879400,Anchorage,61.2181,-149.9003,56.43,71,1,6.91,US,1629049926
228,94787,Kirkuk,35.4681,44.3922,94.59,14,0,6.64,IQ,1629050223
229,2015306,Tiksi,71.6872,128.8694,38.75,94,72,5.44,RU,1629050224
230,1489209,Troitskoye,52.9821,84.6757,56.68,88,78,1.32,RU,1629050225
231,2392087,Porto-Novo,6.4965,2.6036,82.22,75,90,9.66,BJ,1629050225
232,3356832,Henties Bay,-22.116,14.2845,56.86,92,23,1.61,NA,1629050226
233,2074865,Carnarvon,-24.8667,113.6333,59.07,61,75,6.91,AU,1629050062
234,1513491,Yangi Marg`ilon,40.4272,71.7189,75.92,29,0,9.22,UZ,1629050228
235,57000,Hobyo,5.3505,48.5268,77.5,81,57,26.02,SO,1629050228
236,3893726,Constitución,-35.3333,-72.4167,53.19,79,100,14.81,CL,1629050229
237,3472245,Andrelândia,-21.7397,-44.3092,77.72,34,44,1.72,BR,1629050230
238,5546220,Saint George,37.1041,-113.5841,95.63,30,1,1.01,US,1629050209
239,4787534,Sterling,39.0062,-77.4286,83.86,62,90,1.01,US,1629050133
240,3395458,Maragogi,-9.0122,-35.2225,77.61,69,82,12.26,BR,1629050232
241,932960,Werda,-25.2667,23.2833,65.16,40,0,9.51,BW,1629050232
242,2013918,Ust-Maya,60.4167,134.5333,61.38,90,100,3.18,RU,1629050233
243,2136825,Isangel,-19.55,169.2667,69.24,73,27,15.59,VU,1629050234
244,3405215,Bonfim,3.0833,-59.95,80.51,77,96,5.39,BR,1629050235
245,4763231,Harrisonburg,38.4496,-78.8689,74.44,69,90,0.0,US,1629050119
246,898947,Senanga,-16.1167,23.2667,67.86,27,0,6.2,ZM,1629050236
247,3694112,Paita,-5.0892,-81.1144,77.56,68,42,13.24,PE,1629050237
248,5282297,Bethel,41.3712,-73.414,82.81,55,100,4.29,US,1629050238
249,1067565,Beloha,-25.1667,45.05,61.12,71,2,12.41,MG,1629050238
250,1519422,Semey,50.4111,80.2275,62.31,73,94,6.38,KZ,1629049974
251,3671519,Puerto Carreño,6.189,-67.4859,76.05,86,100,1.39,CO,1629050240
252,5927969,Corner Brook,48.9667,-57.9484,78.96,75,84,7.49,CA,1629050164
253,3687972,Calamar,10.2511,-74.9146,82.35,59,99,3.76,CO,1629050241
254,1279945,Jiuquan,39.7432,98.5174,79.93,28,79,9.98,CN,1629050242
255,1052944,Angoche,-16.2325,39.9086,72.09,76,34,11.7,MZ,1629050243
256,528288,Maykor,59.0059,55.88,64.27,67,100,4.45,RU,1629050243
257,1529376,Korla,41.7597,86.1469,75.67,36,96,4.43,CN,1629050244
258,686090,Asău,46.4333,26.4,75.4,75,67,0.51,RO,1629050245
259,4301317,Morehead,37.2711,-87.1764,80.83,78,90,3.44,US,1629050246
260,2127060,Arman',59.7,150.1667,57.13,94,99,4.05,RU,1629050246
261,1488167,Ust'-Koksa,50.2696,85.6108,50.05,92,52,1.61,RU,1629050247
262,1492499,Shagonar,51.5333,92.8,60.57,87,100,0.96,RU,1629050248
263,3445764,Unaí,-16.3575,-46.9061,89.51,19,1,5.61,BR,1629050249
264,2023333,Kachug,53.9606,105.8817,61.57,96,100,1.92,RU,1629050249
265,1795565,Shenzhen,22.5455,114.0683,82.35,89,96,4.41,CN,1629049977
266,5855051,‘Ewa Beach,21.3156,-158.0072,79.09,75,6,8.66,US,1629050251
267,3654541,Macas,-2.3167,-78.1167,74.95,78,75,1.14,EC,1629050252
268,178443,Wajir,1.7471,40.0573,84.61,41,74,19.98,KE,1629050252
269,3921141,Charagua,-19.8,-63.2167,76.57,22,1,7.18,BO,1629050253
270,2377450,Nouakchott,18.0858,-15.9785,84.13,80,79,13.44,MR,1629050254
271,3897347,Calama,-22.4667,-68.9333,70.29,16,0,23.02,CL,1629050204
272,305681,Kumluca,36.3703,30.2869,83.91,46,0,7.2,TR,1629050255
273,3105522,Bereda,43.2686,-7.5406,70.41,74,0,6.8,ES,1629050256
274,2313084,Mangai,-4.05,19.5333,85.82,39,86,0.78,CD,1629050257
275,2381972,Adrar,20.5022,-10.0711,107.91,7,41,13.09,MR,1629050257
276,1066310,Betioky,-23.7167,44.3833,62.17,58,0,15.03,MG,1629050258
277,2064735,Nhulunbuy,-12.2333,136.7667,75.81,88,40,8.05,AU,1629050259
278,5364271,Laguna,38.421,-121.4238,94.84,47,20,4.61,US,1629050260
279,5379524,Orange,33.7,-117.7675,95.68,69,20,1.01,US,1629049773
280,1831125,Kampong Thom,12.7111,104.8887,74.25,94,83,2.64,KH,1629050261
281,3430863,Mar del Plata,-38.0023,-57.5575,57.22,88,20,5.75,AR,1629050262
282,1855612,Nara,34.6851,135.8049,76.28,90,42,2.64,JP,1629050259
283,2246550,Dagana,16.5165,-15.5068,93.18,44,100,9.98,MR,1629050264
284,3388847,São Félix do Xingu,-6.6447,-51.995,100.58,18,23,3.33,BR,1629050264
285,2374583,Bubaque,11.2833,-15.8333,77.65,84,100,11.74,GW,1629050265
286,1106643,Quatre Cocos,-20.2078,57.7625,66.31,62,96,15.19,MU,1629050266
287,2021093,Kuytun,54.3419,101.5036,56.93,99,100,6.02,RU,1629050267
288,3576994,Cockburn Town,21.4612,-71.1419,85.96,70,40,13.8,TC,1629050267
289,7671223,Kloulklubed,7.0419,134.2556,84.22,73,30,10.11,PW,1629050268
290,3461370,Imbituba,-28.24,-48.6703,69.69,84,81,6.13,BR,1629050269
291,3984571,Santa Catarina de Tepehuanes,25.35,-105.7333,75.67,51,33,6.98,MX,1629050270
292,3397967,Itaituba,-4.2761,-55.9836,93.36,52,40,4.61,BR,1629050270
293,2019135,Nizhniy Kuranakh,58.8353,125.4869,62.38,77,84,4.72,RU,1629050271
